"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"77725","1353598","1594211","Restaurant","Risk 1 (High)",2013-07-11,"Canvass","Pass",0,0,9,0,0,0,6,0.906849315068493,0,1
"79395","1292323","1594216","Restaurant","Risk 2 (Medium)",2013-02-07,"Canvass","Pass",0,0,5,0,0,0,1,1.69041095890411,0,1
"47215","657324","1594231","Other","Risk 1 (High)",2011-11-01,"Canvass","Fail",0,0,0,0,0,0,0,2,1,0
"56915","657349","1594231","Other","Risk 1 (High)",2011-11-18,"Canvass","Pass w/ Conditions",3,1,7,1,0,0,0,0.0465753424657534,0,0
"82082","1096320","1594243","Restaurant","Risk 2 (Medium)",2012-05-21,"Canvass","Pass",0,0,3,0,0,0,3,1.01369863013699,0,1
"38534","1322503","1594243","Restaurant","Risk 2 (Medium)",2013-05-17,"Canvass","Pass",0,0,3,0,1,0,3,0.83013698630137,0,1
"41740","1300673","1594330","Restaurant","Risk 2 (Medium)",2012-11-29,"Canvass","Pass w/ Conditions",1,0,2,0,0,0,3,1.55068493150685,0,0
"10700","1092537","1594330","Restaurant","Risk 2 (Medium)",2013-08-08,"Canvass","Pass",0,0,3,0,0,0,0,0.665753424657534,0,1
"55327","1324209","1594380","Restaurant","Risk 2 (Medium)",2012-12-05,"Canvass","Pass",0,0,2,0,0,0,6,1.55890410958904,0,1
"26531","1235173","1594476","Restaurant","Risk 1 (High)",2012-09-11,"Canvass","Pass",0,0,4,0,0,1,3,1.28219178082192,0,1
"58885","1234729","1594513","Restaurant","Risk 2 (Medium)",2012-08-20,"Canvass","Fail",0,2,3,0,0,0,2,1.25479452054795,0,0
"5038","1229555","1594561","Other","Risk 1 (High)",2012-06-12,"Canvass","Pass",0,0,2,0,0,0,4,0.797260273972603,0,1
"26894","606461","15947","Other","Risk 3 (Low)",2011-10-27,"Canvass","Pass",0,0,7,0,0,0,0,2,1,1
"90969","1227539","15947","Other","Risk 3 (Low)",2012-08-31,"Canvass","Pass",0,0,8,0,0,0,7,0.846575342465753,0,1
"47409","539449","1594714","Restaurant","Risk 2 (Medium)",2011-09-29,"Canvass","Pass",0,0,2,0,0,0,4,1.05753424657534,0,1
